File,Start Line #,End Line #,Start Column #,End Column #,TarantulaRater,OchiaiRater,DBB Size
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_token_end.g.cs,40,40,5,35,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_token_end.g.cs,41,41,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_token_end.g.cs,42,42,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_str_constant.g.cs,38,38,1,2,1,0.4082483,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_str_constant.g.cs,40,40,5,50,1,0.4082483,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_str_constant.g.cs,41,41,5,32,1,0.4082483,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,117,117,9,10,0.9108911,0.3651484,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,118,118,13,38,0.9108911,0.3651484,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,119,119,13,46,0.9108911,0.3651484,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,120,120,13,71,0.9108911,0.3651484,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,121,121,13,56,0.9108911,0.3651484,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,122,122,13,27,0.9108911,0.3651484,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,124,124,9,10,0.9108911,0.3651484,7
